,image,label
0,hyper_kvasir/labeled-images/lower-gi-tract/anatomical-landmarks/cecum/c7c82d76-1907-4f46-ab42-78e18f529639.jpg,cecum
1,hyper_kvasir/labeled-images/upper-gi-tract/anatomical-landmarks/retroflex-stomach/72ebb1ae-14a7-4031-b3b0-9fc11d3ab70f.jpg,retroflex-stomach
2,hyper_kvasir/labeled-images/upper-gi-tract/pathological-findings/esophagitis-a/4a61347c-cc02-4d9a-975f-9e90e95f0ede.jpg,esophagitis-a
3,hyper_kvasir/labeled-images/lower-gi-tract/therapeutic-interventions/dyed-resection-margins/87f7fe3d-a398-463c-a123-a5bd40c170a0.jpg,dyed-resection-margins
4,hyper_kvasir/labeled-images/upper-gi-tract/pathological-findings/esophagitis-b-d/95c114e7-17ee-49dd-aa35-b6f5815dc12c.jpg,esophagitis-b-d
5,hyper_kvasir/labeled-images/upper-gi-tract/anatomical-landmarks/retroflex-stomach/356614ce-7680-48a5-a888-04ebbb356c79.jpg,retroflex-stomach
6,hyper_kvasir/labeled-images/lower-gi-tract/pathological-findings/ulcerative-colitis-grade-2/79c17733-0a53-4e97-bd33-d674388dc491.jpg,ulcerative-colitis-grade-2
7,hyper_kvasir/labeled-images/upper-gi-tract/anatomical-landmarks/pylorus/a5923e26-18ba-42c4-8db0-80c201bbb92b.jpg,pylorus
8,hyper_kvasir/labeled-images/upper-gi-tract/anatomical-landmarks/pylorus/8d90673b-969d-4e2d-977e-07066e057df1.jpg,pylorus
9,hyper_kvasir/labeled-images/lower-gi-tract/quality-of-mucosal-views/bbps-2-3/5e8c5a1d-ead9-4a4e-9eef-8e11e75b0335.jpg,bbps-2-3
10,hyper_kvasir/labeled-images/upper-gi-tract/anatomical-landmarks/retroflex-stomach/a20382b0-7dfb-489f-96f5-5b61bf0f899d.jpg,retroflex-stomach
11,hyper_kvasir/labeled-images/lower-gi-tract/therapeutic-interventions/dyed-resection-margins/c82b693b-7cf7-4d25-a497-febe3245ea2f.jpg,dyed-resection-margins
12,hyper_kvasir/labeled-images/lower-gi-tract/anatomical-landmarks/retroflex-rectum/b0d8a59c-fb1f-4116-8fc1-99802fda85b5.jpg,retroflex-rectum
13,hyper_kvasir/labeled-images/lower-gi-tract/pathological-findings/polyps/1cd92a82-81a8-44a8-ba35-4c9669b99c37.jpg,polyps
14,hyper_kvasir/labeled-images/lower-gi-tract/therapeutic-interventions/dyed-resection-margins/718ffe29-abcd-4a21-8ea9-a6dd3c9c2317.jpg,dyed-resection-margins
15,hyper_kvasir/labeled-images/lower-gi-tract/quality-of-mucosal-views/bbps-2-3/84bb2832-c3d6-499a-b349-d453c90dcbc8.jpg,bbps-2-3
16,hyper_kvasir/labeled-images/upper-gi-tract/anatomical-landmarks/z-line/e7173013-169d-46c3-bb38-ef59ae31cd4f.jpg,z-line
