,image
0,ISIC_2020_Train_DICOM_corrected/train/ISIC_1086387.dcm
1,ISIC_2020_Train_DICOM_corrected/train/ISIC_0644964.dcm
2,ISIC_2020_Train_DICOM_corrected/train/ISIC_6184478.dcm
3,ISIC_2020_Train_DICOM_corrected/train/ISIC_5690108.dcm
4,ISIC_2020_Train_DICOM_corrected/train/ISIC_2073666.dcm
5,ISIC_2020_Train_DICOM_corrected/train/ISIC_1691740.dcm
6,ISIC_2020_Train_DICOM_corrected/train/ISIC_0535416.dcm
7,ISIC_2020_Train_DICOM_corrected/train/ISIC_5107157.dcm
8,ISIC_2020_Train_DICOM_corrected/train/ISIC_5402678.dcm
9,ISIC_2020_Train_DICOM_corrected/train/ISIC_4151356.dcm
10,ISIC_2020_Train_DICOM_corrected/train/ISIC_9844508.dcm
11,ISIC_2020_Train_DICOM_corrected/train/ISIC_2732573.dcm
12,ISIC_2020_Train_DICOM_corrected/train/ISIC_9839867.dcm
13,ISIC_2020_Train_DICOM_corrected/train/ISIC_1785976.dcm
14,ISIC_2020_Train_DICOM_corrected/train/ISIC_7185036.dcm
15,ISIC_2020_Train_DICOM_corrected/train/ISIC_5230345.dcm
16,ISIC_2020_Train_DICOM_corrected/train/ISIC_8511557.dcm
17,ISIC_2020_Train_DICOM_corrected/train/ISIC_6753425.dcm
18,ISIC_2020_Train_DICOM_corrected/train/ISIC_2991936.dcm
19,ISIC_2020_Train_DICOM_corrected/train/ISIC_5409681.dcm
20,ISIC_2020_Train_DICOM_corrected/train/ISIC_8924739.dcm
21,ISIC_2020_Train_DICOM_corrected/train/ISIC_9628667.dcm
22,ISIC_2020_Train_DICOM_corrected/train/ISIC_6503619.dcm
23,ISIC_2020_Train_DICOM_corrected/train/ISIC_0586782.dcm
24,ISIC_2020_Train_DICOM_corrected/train/ISIC_9415528.dcm
25,ISIC_2020_Train_DICOM_corrected/train/ISIC_7847181.dcm
26,ISIC_2020_Train_DICOM_corrected/train/ISIC_7292853.dcm
27,ISIC_2020_Train_DICOM_corrected/train/ISIC_2554708.dcm
28,ISIC_2020_Train_DICOM_corrected/train/ISIC_0381255.dcm
29,ISIC_2020_Train_DICOM_corrected/train/ISIC_6384997.dcm
30,ISIC_2020_Train_DICOM_corrected/train/ISIC_2319387.dcm
31,ISIC_2020_Train_DICOM_corrected/train/ISIC_2093167.dcm
